['329', '931', '101', '657', '222', '52', '743', '21', '741', '586', '249', '904', '765', '212', '355', '865', '159', '207', '276', '168', '278', '315', '469', '456', '507', '328', '170', '949', '452', '321', '284', '648', '557', '523', '511', '543', '6', '796', '289', '699', '787', '436', '51', '940', '508', '86', '26', '608', '624', '316']
['120', '570', '875', '998', '467', '190', '706', '962', '38', '139', '742', '585', '348', '233', '944', '712', '392', '117', '709', '359', '628', '123', '665', '187', '438', '366', '539', '423', '588', '915', '218', '1', '598', '364', '209', '806', '220', '202', '880', '745', '107', '290', '895', '861', '257', '527', '441', '653', '211', '797']
['361', '373', '241', '892', '332', '133', '79', '296', '956', '929', '888', '792', '855', '676', '30', '811', '625', '565', '182', '901', '663', '223', '722', '908', '229', '426', '536', '161', '302', '842', '912', '939', '142', '677', '911', '725', '106', '48', '941', '848', '380', '365', '68', '57', '448', '186', '347', '184', '658', '274']
['960', '82', '350', '840', '680', '887', '409', '740', '595', '74', '660', '662', '537', '698', '548', '731', '513', '985', '780', '18', '405', '777', '252', '2', '431', '783', '260', '781', '719', '458', '108', '615', '178', '318', '978', '629', '701', '432', '533', '36', '143', '145', '789', '358', '868', '44', '968', '606', '575', '269']
['748', '61', '597', '845', '90', '226', '42', '19', '874', '685', '754', '864', '505', '119', '784', '104', '135', '561', '827', '758', '965', '272', '498', '449', '643', '291', '214', '924', '453', '994', '992', '344', '237', '898', '100', '55', '552', '566', '480', '830', '616', '813', '896', '872', '33', '259', '270', '788', '726', '747']
['292', '630', '948', '70', '878', '435', '13', '971', '526', '673', '174', '5', '357', '730', '378', '384', '415', '177', '470', '591', '25', '484', '131', '454', '746', '964', '605', '910', '999', '113', '136', '154', '546', '440', '611', '991', '407', '723', '124', '235', '771', '88', '822', '732', '903', '655', '538', '263', '601', '596']
['236', '667', '425', '529', '922', '167', '569', '650', '200', '485', '11', '239', '559', '856', '171', '768', '396', '504', '479', '299', '62', '418', '876', '71', '863', '390', '387', '574', '531', '881', '338', '464', '323', '578', '884', '958', '23', '138', '516', '203', '17', '288', '39', '47', '319', '482', '15', '95', '812', '534']
['986', '437', '103', '206', '10', '151', '20', '581', '398', '293', '987', '114', '530', '160', '919', '990', '589', '173', '573', '646', '932', '60', '461', '913', '282', '791', '954', '96', '772', '760', '428', '668', '936', '72', '926', '271', '157', '421', '580', '77', '849', '490', '952', '297', '443', '502', '568', '307', '46', '227']
['750', '831', '483', '268', '899', '324', '522', '661', '866', '829', '213', '32', '22', '681', '718', '867', '83', '519', '905', '155', '817', '230', '900', '112', '345', '704', '445', '419', '973', '389', '245', '128', '327', '266', '121', '889', '341', '602', '620', '509', '370', '774', '285', '826', '8', '294', '894', '158', '969', '769']
['749', '217', '172', '109', '794', '945', '54', '14', '417', '927', '541', '798', '375', '98', '69', '56', '592', '434', '850', '738', '122', '679', '659', '422', '921', '825', '551', '816', '916', '129', '125', '770', '883', '914', '31', '306', '179', '930', '594', '331', '115', '183', '137', '619', '462', '988', '111', '64', '188', '50']
['149', '148', '711', '555', '130', '852', '819', '604', '181', '891', '503', '382', '776', '728', '265', '857', '853', '255', '838', '670', '231', '383', '563', '45', '639', '215', '221', '59', '248', '739', '654', '989', '521', '773', '532', '305', '640', '253', '225', '918', '446', '326', '92', '858', '320', '587', '937', '785', '642', '335']
