['11', '199', '149', '279', '214', '285', '359', '181', '340', '319', '316', '130', '288', '258', '55', '98', '336', '365', '291', '34']
['299', '293', '178', '17', '356', '224', '245', '357', '217', '272', '67', '278', '323', '383', '311', '271', '360', '54', '264', '43']
['361', '13', '151', '290', '187', '93', '165', '390', '378', '152', '204', '210', '51', '384', '171', '101', '170', '42', '287', '6']
['144', '58', '250', '374', '38', '134', '122', '10', '31', '257', '110', '140', '77', '392', '389', '248', '252', '104', '364', '162']
['47', '72', '12', '50', '309', '62', '96', '139', '270', '71', '229', '324', '82', '395', '240', '143', '40', '59', '273', '148']
['9', '211', '44', '300', '107', '166', '372', '339', '36', '269', '255', '188', '172', '205', '228', '156', '48', '230', '251', '146']
['295', '131', '280', '99', '109', '194', '0', '192', '297', '320', '91', '7', '337', '202', '137', '86', '399', '335', '195', '260']
['196', '241', '283', '354', '180', '133', '315', '358', '176', '212', '186', '129', '232', '314', '333', '362', '350', '57', '206', '45']
['367', '344', '65', '70', '379', '49', '220', '387', '237', '174', '326', '386', '5', '281', '14', '39', '242', '78', '92', '200']
['388', '61', '125', '306', '381', '158', '349', '397', '363', '117', '52', '209', '201', '313', '265', '79', '75', '398', '274', '8']
['227', '368', '20', '19', '119', '377', '32', '312', '235', '69', '168', '64', '3', '27', '268', '126', '108', '46', '334', '81']
['33', '369', '289', '296', '226', '222', '120', '215', '244', '380', '132', '317', '128', '282', '332', '155', '301', '136', '28', '216']
['138', '76', '114', '223', '266', '1', '112', '207', '351', '106', '213', '157', '135', '115', '391', '15', '393', '63', '190', '198']
['352', '173', '267', '175', '325', '53', '259', '60', '239', '84', '189', '219', '307', '94', '234', '103', '183', '16', '164', '218']
['373', '25', '29', '342', '89', '177', '4', '142', '275', '375', '191', '87', '95', '284', '80', '238', '376', '124', '370', '37']
['246', '385', '321', '292', '310', '329', '256', '159', '347', '302', '346', '179', '127', '353', '308', '88', '18', '41', '208', '2']
['73', '97', '233', '327', '231', '203', '90', '153', '150', '236', '56', '35', '22', '160', '154', '182', '68', '277', '366', '303']
['331', '355', '74', '263', '330', '243', '348', '247', '396', '341', '276', '328', '382', '294', '371', '322', '184', '145', '345', '253']
['113', '83', '121', '100', '23', '123', '141', '102', '286', '147', '318', '105', '66', '167', '394', '262', '197', '111', '116', '193']
['254', '225', '185', '26', '261', '169', '85', '30', '24', '221', '305', '249', '298', '21', '304', '163', '343', '338', '161', '118']
