['436', '104', '80', '276', '285', '106', '358', '412', '66', '91', '284', '307', '72', '226', '365', '374', '332', '4', '379', '359']
['121', '171', '189', '435', '485', '368', '44', '348', '36', '188', '392', '73', '154', '12', '211', '241', '458', '461', '381', '346']
['464', '24', '488', '390', '380', '441', '190', '162', '56', '372', '314', '166', '282', '234', '16', '124', '429', '218', '77', '266']
['6', '363', '179', '409', '173', '393', '333', '325', '67', '433', '287', '129', '187', '223', '315', '220', '136', '258', '52', '161']
['496', '310', '400', '362', '294', '304', '493', '280', '186', '444', '130', '295', '216', '324', '205', '68', '438', '159', '180', '84']
['153', '244', '57', '131', '114', '47', '231', '451', '500', '60', '303', '127', '29', '306', '229', '50', '425', '203', '206', '455']
['326', '497', '79', '213', '75', '428', '334', '217', '150', '476', '344', '193', '274', '237', '108', '103', '120', '160', '353', '293']
['343', '318', '290', '422', '140', '269', '147', '85', '165', '298', '384', '391', '65', '399', '312', '341', '329', '230', '184', '61']
['494', '351', '423', '48', '440', '490', '169', '45', '262', '463', '142', '227', '148', '402', '208', '98', '198', '446', '82', '388']
['316', '394', '289', '347', '132', '480', '471', '235', '253', '397', '13', '76', '260', '110', '176', '417', '185', '194', '355', '369']
['375', '267', '299', '163', '421', '86', '178', '366', '225', '378', '137', '195', '450', '264', '8', '335', '401', '222', '419', '430']
['105', '192', '251', '265', '10', '35', '468', '116', '305', '22', '308', '64', '387', '81', '495', '119', '177', '109', '268', '466']
['377', '403', '361', '460', '411', '197', '240', '214', '248', '331', '416', '300', '420', '278', '201', '1', '404', '443', '71', '357']
['207', '78', '170', '489', '418', '336', '172', '62', '291', '174', '107', '382', '144', '467', '58', '112', '465', '376', '398', '317']
['15', '457', '209', '2', '196', '135', '319', '245', '40', '498', '115', '143', '123', '322', '487', '9', '323', '236', '261', '432']
['138', '254', '337', '442', '243', '7', '19', '34', '212', '386', '5', '279', '99', '373', '59', '200', '252', '255', '327', '204']
['478', '28', '431', '175', '238', '288', '164', '232', '283', '340', '492', '146', '277', '367', '491', '23', '46', '385', '296', '37']
['27', '415', '470', '70', '407', '51', '352', '102', '321', '183', '139', '111', '339', '309', '313', '221', '481', '270', '406', '122']
['3', '273', '94', '21', '445', '292', '215', '11', '149', '499', '42', '459', '49', '87', '133', '247', '249', '74', '54', '330']
['224', '338', '469', '202', '158', '301', '275', '342', '286', '437', '32', '88', '156', '434', '128', '424', '31', '328', '100', '69']
['199', '246', '152', '482', '182', '43', '452', '101', '53', '228', '272', '456', '448', '408', '395', '134', '263', '474', '125', '118']
['302', '439', '242', '281', '320', '350', '256', '449', '410', '472', '55', '484', '370', '145', '30', '271', '151', '89', '297', '479']
['427', '97', '250', '39', '259', '364', '210', '486', '90', '233', '360', '191', '473', '17', '14', '405', '25', '113', '462', '414']
['389', '33', '447', '126', '483', '383', '239', '371', '18', '257', '155', '167', '26', '454', '157', '219', '117', '354', '396', '93']
['92', '41', '95', '96', '453', '311', '38', '475', '63', '349', '413', '356', '168', '141', '83', '426', '20', '181', '345', '477']
