['124', '16', '137', '280', '75', '209', '155', '358', '119', '271', '369', '23', '329', '311', '317', '126', '286', '116', '394', '229']
['46', '378', '266', '72', '3', '175', '371', '203', '321', '302', '220', '374', '182', '289', '347', '146', '6', '297', '48', '215']
['368', '248', '185', '253', '243', '204', '308', '135', '273', '121', '376', '336', '346', '259', '36', '381', '110', '103', '68', '64']
['127', '268', '391', '234', '337', '17', '363', '312', '153', '278', '210', '58', '224', '360', '170', '133', '265', '399', '122', '104']
['114', '293', '115', '272', '85', '144', '269', '223', '255', '53', '95', '90', '38', '357', '322', '372', '295', '13', '351', '284']
['316', '102', '200', '105', '212', '94', '340', '320', '107', '54', '139', '352', '226', '18', '206', '20', '355', '359', '292', '221']
['14', '393', '214', '313', '216', '77', '181', '187', '41', '27', '205', '387', '195', '245', '164', '263', '67', '40', '285', '395']
['1', '100', '380', '339', '261', '202', '342', '34', '296', '306', '21', '162', '288', '246', '108', '163', '152', '257', '315', '247']
['178', '237', '192', '39', '367', '324', '233', '188', '397', '50', '319', '71', '276', '240', '98', '228', '157', '33', '331', '60']
['388', '252', '384', '69', '298', '80', '158', '183', '70', '42', '235', '386', '326', '242', '87', '382', '156', '244', '254', '91']
['82', '184', '28', '66', '364', '304', '186', '129', '314', '172', '61', '301', '305', '24', '86', '294', '125', '180', '111', '307']
['345', '191', '225', '213', '128', '150', '130', '300', '343', '79', '279', '199', '299', '383', '76', '147', '198', '258', '149', '62']
['32', '43', '134', '81', '362', '145', '29', '140', '333', '12', '84', '143', '97', '318', '30', '56', '141', '44', '25', '138']
['350', '173', '177', '113', '291', '10', '19', '117', '389', '348', '22', '349', '232', '197', '328', '131', '8', '281', '249', '219']
['287', '270', '101', '290', '4', '274', '377', '165', '5', '211', '167', '73', '142', '370', '275', '26', '201', '78', '398', '303']
['309', '88', '334', '354', '171', '236', '365', '375', '238', '385', '169', '193', '136', '277', '327', '231', '392', '176', '63', '227']
['239', '7', '2', '11', '379', '154', '37', '159', '194', '323', '250', '325', '55', '59', '267', '373', '96', '196', '120', '218']
['217', '310', '35', '106', '151', '241', '366', '353', '222', '168', '161', '251', '89', '132', '160', '74', '57', '208', '49', '230']
['112', '256', '330', '99', '174', '93', '15', '262', '283', '83', '260', '189', '65', '45', '190', '109', '356', '338', '0', '123']
['264', '361', '390', '282', '207', '51', '92', '332', '148', '166', '47', '52', '179', '118', '335', '344', '31', '396', '9', '341']
