['119', '278', '398', '249', '328', '339', '93', '98', '159', '295', '315', '272', '52', '177', '106', '91', '214', '22', '57', '292']
['69', '393', '207', '140', '241', '363', '130', '365', '337', '25', '80', '238', '19', '356', '90', '266', '331', '179', '40', '96']
['221', '12', '341', '142', '139', '209', '261', '181', '312', '125', '293', '66', '343', '190', '253', '383', '394', '185', '359', '20']
['259', '350', '251', '319', '327', '108', '26', '45', '305', '141', '187', '342', '281', '294', '170', '204', '380', '198', '149', '152']
['245', '228', '302', '47', '83', '230', '56', '183', '340', '8', '318', '345', '82', '242', '105', '186', '10', '237', '236', '155']
['374', '378', '321', '289', '348', '197', '167', '31', '112', '15', '51', '273', '226', '17', '372', '100', '116', '5', '333', '178']
['151', '110', '92', '78', '76', '203', '366', '384', '41', '103', '338', '49', '306', '39', '73', '265', '347', '269', '208', '256']
['360', '377', '258', '322', '234', '300', '72', '244', '240', '160', '42', '317', '162', '298', '48', '391', '87', '21', '271', '346']
['156', '330', '102', '62', '192', '97', '168', '0', '371', '199', '358', '323', '95', '250', '201', '381', '326', '13', '64', '320']
['283', '336', '173', '309', '7', '308', '262', '277', '14', '354', '239', '4', '290', '217', '58', '28', '392', '143', '260', '291']
['196', '215', '325', '30', '36', '23', '77', '246', '285', '200', '386', '188', '11', '60', '6', '129', '68', '158', '171', '385']
['334', '280', '54', '115', '128', '211', '146', '222', '212', '29', '34', '390', '395', '75', '369', '63', '164', '235', '37', '247']
['225', '150', '303', '145', '264', '364', '310', '38', '3', '81', '191', '270', '299', '174', '206', '304', '50', '24', '357', '27']
['352', '55', '111', '313', '202', '138', '387', '375', '389', '296', '324', '65', '297', '16', '267', '61', '107', '133', '220', '195']
['84', '367', '85', '257', '397', '282', '136', '216', '148', '144', '74', '232', '254', '314', '255', '86', '161', '279', '59', '382']
['127', '227', '284', '399', '172', '311', '44', '301', '122', '71', '194', '126', '396', '252', '153', '169', '229', '33', '1', '193']
['43', '219', '180', '224', '275', '362', '2', '307', '165', '113', '243', '104', '248', '114', '18', '231', '276', '288', '135', '373']
['388', '182', '213', '132', '124', '118', '351', '89', '120', '166', '32', '370', '53', '176', '223', '157', '332', '117', '134', '184']
['121', '35', '123', '361', '154', '67', '94', '376', '218', '205', '9', '137', '355', '316', '109', '70', '101', '163', '79', '189']
['99', '88', '46', '379', '349', '175', '368', '335', '353', '210', '147', '344', '274', '286', '329', '233', '263', '268', '287', '131']
