['77', '111', '368', '194', '240', '244', '309', '121', '307', '390', '329', '384', '388', '266', '358', '366', '128', '134', '290', '163']
['105', '23', '275', '251', '22', '58', '29', '145', '187', '339', '324', '8', '69', '75', '34', '195', '334', '4', '220', '123']
['284', '135', '169', '241', '94', '79', '336', '102', '191', '50', '386', '46', '71', '53', '347', '397', '144', '355', '229', '335']
['250', '114', '56', '32', '55', '343', '190', '377', '93', '109', '360', '100', '97', '223', '0', '356', '196', '268', '381', '213']
['350', '152', '208', '31', '283', '254', '125', '396', '92', '327', '289', '212', '11', '198', '333', '238', '70', '209', '312', '10']
['393', '281', '205', '57', '43', '361', '331', '147', '33', '63', '206', '382', '354', '294', '51', '101', '72', '181', '258', '222']
['87', '74', '269', '91', '54', '60', '161', '139', '363', '242', '132', '201', '15', '165', '383', '359', '67', '65', '376', '392']
['38', '257', '291', '184', '6', '140', '185', '136', '322', '112', '374', '126', '341', '300', '193', '398', '2', '260', '90', '346']
['98', '200', '115', '103', '228', '255', '45', '247', '273', '68', '183', '80', '117', '345', '177', '227', '170', '253', '302', '296']
['399', '18', '160', '282', '362', '236', '78', '226', '351', '173', '124', '47', '172', '150', '180', '248', '182', '249', '391', '292']
['202', '225', '66', '274', '52', '259', '17', '316', '219', '318', '262', '130', '62', '64', '379', '276', '319', '264', '149', '21']
['27', '138', '24', '323', '263', '270', '81', '342', '41', '243', '216', '106', '357', '340', '166', '326', '325', '330', '48', '348']
['245', '210', '85', '303', '279', '314', '175', '371', '156', '305', '234', '372', '30', '122', '311', '73', '131', '278', '272', '232']
['44', '19', '239', '108', '207', '61', '385', '155', '3', '104', '287', '167', '7', '189', '320', '317', '237', '286', '82', '217']
['352', '211', '364', '14', '215', '76', '39', '295', '28', '369', '306', '157', '267', '107', '188', '36', '288', '370', '88', '297']
['313', '5', '133', '299', '328', '395', '349', '20', '171', '154', '25', '204', '277', '332', '13', '197', '99', '192', '162', '315']
['179', '373', '12', '176', '141', '113', '116', '1', '110', '95', '118', '137', '26', '42', '40', '89', '375', '178', '158', '235']
['308', '148', '218', '353', '203', '168', '59', '285', '301', '16', '230', '96', '49', '86', '265', '143', '365', '310', '224', '164']
['151', '142', '159', '337', '129', '252', '119', '146', '304', '380', '261', '387', '186', '35', '153', '9', '37', '127', '394', '214']
['246', '293', '84', '321', '233', '256', '338', '199', '120', '378', '367', '298', '174', '83', '280', '344', '231', '389', '221', '271']
