['989', '146', '116', '704', '712', '877', '828', '674', '176', '608', '207', '967', '263', '724', '517', '741', '746', '92', '734', '40']
['824', '605', '318', '504', '411', '289', '682', '139', '533', '501', '546', '620', '332', '839', '869', '258', '565', '665', '392', '625']
['307', '598', '642', '231', '398', '140', '852', '999', '673', '395', '832', '122', '861', '638', '539', '94', '857', '677', '871', '325']
['178', '26', '130', '803', '728', '103', '506', '901', '984', '472', '742', '636', '374', '261', '621', '222', '556', '778', '532', '668']
['230', '583', '55', '270', '442', '437', '791', '5', '99', '302', '957', '269', '652', '226', '658', '709', '293', '884', '478', '358']
['369', '858', '765', '167', '817', '281', '279', '683', '17', '260', '448', '221', '320', '487', '918', '408', '299', '337', '811', '810']
['468', '935', '558', '271', '767', '985', '604', '439', '922', '370', '882', '266', '177', '795', '410', '606', '596', '105', '248', '775']
['157', '9', '754', '827', '83', '840', '416', '277', '304', '342', '702', '61', '661', '214', '601', '646', '447', '359', '112', '723']
['524', '981', '466', '421', '242', '409', '175', '431', '769', '609', '806', '338', '915', '379', '29', '911', '776', '213', '747', '885']
['305', '898', '904', '846', '496', '217', '549', '569', '384', '64', '180', '870', '894', '403', '100', '574', '499', '992', '872', '375']
['314', '633', '998', '900', '467', '883', '362', '78', '301', '47', '163', '278', '649', '777', '614', '656', '792', '576', '79', '735']
['33', '530', '928', '198', '949', '399', '153', '663', '404', '812', '537', '804', '940', '909', '161', '571', '50', '903', '192', '821']
['155', '934', '781', '62', '246', '483', '513', '763', '942', '980', '280', '397', '480', '481', '557', '485', '662', '273', '690', '145']
['689', '428', '321', '913', '588', '169', '722', '982', '368', '719', '89', '453', '891', '908', '137', '829', '39', '587', '185', '899']
['492', '623', '355', '193', '298', '937', '955', '10', '932', '186', '573', '969', '366', '229', '914', '418', '945', '350', '643', '52']
['432', '584', '559', '240', '74', '520', '445', '121', '807', '595', '73', '953', '96', '540', '367', '582', '189', '958', '48', '183']
['905', '456', '589', '730', '632', '219', '427', '425', '201', '552', '553', '131', '780', '71', '586', '268', '745', '255', '676', '102']
['761', '377', '779', '820', '288', '360', '855', '959', '756', '224', '568', '202', '290', '762', '713', '729', '687', '308', '930', '910']
['284', '107', '471', '95', '21', '27', '20', '330', '692', '655', '703', '235', '796', '215', '479', '129', '542', '98', '562', '637']
['838', '847', '912', '639', '732', '554', '578', '799', '579', '412', '23', '716', '965', '983', '460', '697', '28', '611', '675', '4']
['491', '31', '340', '407', '415', '818', '971', '313', '390', '354', '423', '406', '243', '515', '461', '36', '631', '602', '592', '463']
['518', '993', '543', '770', '93', '895', '250', '717', '256', '936', '394', '738', '76', '34', '612', '974', '1', '272', '3', '919']
['848', '188', '708', '65', '238', '973', '600', '987', '619', '560', '591', '753', '296', '486', '844', '164', '19', '531', '125', '303']
['285', '851', '498', '482', '264', '319', '90', '295', '948', '863', '469', '376', '37', '572', '297', '994', '622', '906', '488', '225']
['114', '768', '292', '494', '699', '160', '135', '617', '502', '759', '538', '793', '56', '389', '659', '834', '790', '755', '44', '378']
['15', '363', '54', '87', '924', '402', '766', '204', '737', '190', '749', '664', '259', '757', '644', '405', '401', '859', '951', '714']
['464', '335', '896', '16', '197', '68', '24', '693', '700', '822', '815', '373', '124', '490', '960', '509', '45', '400', '805', '567']
['889', '419', '323', '309', '897', '41', '450', '628', '514', '705', '733', '961', '943', '570', '383', '420', '830', '752', '440', '720']
['58', '141', '356', '191', '968', '786', '291', '434', '751', '678', '964', '890', '333', '725', '365', '695', '800', '939', '443', '265']
['593', '165', '710', '947', '962', '853', '336', '527', '329', '324', '660', '635', '616', '254', '833', '841', '956', '205', '128', '179']
['430', '845', '113', '744', '136', '70', '979', '334', '110', '826', '200', '312', '727', '433', '77', '921', '706', '564', '831', '837']
['748', '220', '326', '274', '380', '651', '816', '182', '975', '181', '933', '503', '534', '111', '151', '0', '931', '650', '963', '950']
['353', '731', '686', '275', '927', '317', '341', '150', '322', '996', '528', '672', '995', '545', '864', '563', '550', '615', '685', '618']
['237', '868', '429', '216', '134', '888', '653', '57', '920', '880', '347', '694', '743', '239', '630', '310', '954', '276', '887', '941']
